route_id,origin,destination,total_passengers,weight
COIMBATORE-HYDERABAD,COIMBATORE,HYDERABAD,313993.0,0.003193
KOLKATA-PUNE,KOLKATA,PUNE,300266.0,0.003053
CHENNAI-PORT BLAIR,CHENNAI,PORT BLAIR,298298.0,0.003033
BENGALURU-VISHAKHAPATNAM,BENGALURU,VISHAKHAPATNAM,295282.0,0.003003
KOLKATA-PORT BLAIR,KOLKATA,PORT BLAIR,294286.0,0.002992
CHENNAI-MADURAI,CHENNAI,MADURAI,286278.0,0.002911
MUMBAI-PATNA,MUMBAI,PATNA,281190.0,0.002859
BENGALURU-INDORE,BENGALURU,INDORE,280565.0,0.002853
BENGALURU-RANCHI,BENGALURU,RANCHI,278907.0,0.002836
AHMEDABAD-CHENNAI,AHMEDABAD,CHENNAI,273723.0,0.002783
DELHI-VISHAKHAPATNAM,DELHI,VISHAKHAPATNAM,273268.0,0.002779
BHUBANESWAR-HYDERABAD,BHUBANESWAR,HYDERABAD,268155.0,0.002727
BENGALURU-KOZHIKODE,BENGALURU,KOZHIKODE,267863.0,0.002724
BENGALURU-COIMBATORE,BENGALURU,COIMBATORE,266655.0,0.002711
DELHI-GORAKHPUR,DELHI,GORAKHPUR,261610.0,0.00266
GOA-PUNE,GOA,PUNE,261545.0,0.002659
AHMEDABAD-GOA,AHMEDABAD,GOA,256966.0,0.002613
COIMBATORE-DELHI,COIMBATORE,DELHI,255356.0,0.002597
DELHI-THIRUVANANTHAPURAM,DELHI,THIRUVANANTHAPURAM,253758.0,0.00258
GUWAHATI-IMPHAL,GUWAHATI,IMPHAL,253058.0,0.002573
GUWAHATI-MUMBAI,GUWAHATI,MUMBAI,250625.0,0.002548
DELHI-HIRASAR,DELHI,HIRASAR,245964.0,0.002501
HYDERABAD-VARANASI,HYDERABAD,VARANASI,237103.0,0.002411
MUMBAI-VADODARA,MUMBAI,VADODARA,229717.0,0.002336
MUMBAI-RAIPUR,MUMBAI,RAIPUR,229202.0,0.002331
BHOPAL-MUMBAI,BHOPAL,MUMBAI,228377.0,0.002322
HYDERABAD-JAIPUR,HYDERABAD,JAIPUR,226159.0,0.0023
JAIPUR-KOLKATA,JAIPUR,KOLKATA,225212.0,0.00229
GUWAHATI-HYDERABAD,GUWAHATI,HYDERABAD,224694.0,0.002285
HYDERABAD-VIJAYWADA,HYDERABAD,VIJAYWADA,220030.0,0.002237
DEHRADUN-MUMBAI,DEHRADUN,MUMBAI,218943.0,0.002226
BHUBANESWAR-KOLKATA,BHUBANESWAR,KOLKATA,217716.0,0.002214
HYDERABAD-PATNA,HYDERABAD,PATNA,217403.0,0.002211
MUMBAI-THIRUVANANTHAPURAM,MUMBAI,THIRUVANANTHAPURAM,211138.0,0.002147
CHENNAI-GUWAHATI,CHENNAI,GUWAHATI,206503.0,0.0021
DELHI-IMPHAL,DELHI,IMPHAL,203820.0,0.002073
HYDERABAD-LUCKNOW,HYDERABAD,LUCKNOW,202713.0,0.002061
BAGDOGRA-HYDERABAD,BAGDOGRA,HYDERABAD,198441.0,0.002018
MUMBAI-SRINAGAR,MUMBAI,SRINAGAR,197608.0,0.002009
AMRITSAR-MUMBAI,AMRITSAR,MUMBAI,196143.0,0.001994
KOLKATA-PATNA,KOLKATA,PATNA,195563.0,0.001989
NAGPUR-PUNE,NAGPUR,PUNE,191413.0,0.001946
INDORE-PUNE,INDORE,PUNE,189937.0,0.001931
